% Model:              CantileverBeam_Success.mph
% Version:            COMSOL 6.1.0.357
% Date:               Jun 14 2024, 21:41
% Dimension:          2
% Nodes:              183
% Expressions:        6
% Description:        Displacement field, Y-component
% Length unit:        m
% Eigenvalues:        [17.688, 111.22, 312.76, 625.77, 1073.1, 1077.4] Hz
% X                       Y                        v2 (m) @ lambda=1        v2 (m) @ lambda=2        v2 (m) @ lambda=3        v2 (m) @ lambda=4        v2 (m) @ lambda=5        v2 (m) @ lambda=6
0.4978527483415724        0.0127                   3.3748818637786296E-7    7.170158950714875E-7     1.7531361704674928E-8    -7.681295125965611E-7    1.7548524724074909E-7    4.749161361674189E-15
0.4982035108623707        0.0127                   3.378959519280704E-7     7.168573426640696E-7     1.5529613302191332E-8    -7.679193477313897E-7    1.7914749226699404E-7    4.8446473434988695E-15
0.49855427338316927       0.0127                   3.383038651682346E-7     7.166968313912571E-7     1.3528077263447389E-8    -7.676971255025722E-7    1.8280461227608192E-7    4.940018429079037E-15
0.49882993760002364       0.0127                   3.386245476566147E-7     7.165693106415729E-7     1.1955229417262717E-8    -7.67514021954435E-7     1.8567508148401925E-7    5.014889930114271E-15
0.499105601816878         0.0127                   3.389453211690089E-7     7.164405795318372E-7     1.0382529697524063E-8    -7.673234754198821E-7    1.8854227648758355E-7    5.089679404325373E-15
0.49930280090843904       0.0127                   3.3917484543610273E-7    7.163477477404644E-7     9.257578611571649E-9     -7.671826005119645E-7    1.905913170201159E-7     5.143147581626935E-15
0.4995                    0.0127                   3.394044162085038E-7     7.162542963744953E-7     8.132709880679586E-9     -7.67037918441769E-7     1.9263864007372223E-7    5.196571862698703E-15
0.500697199091561         0.0127                   3.407995647181934E-7     7.156703040892238E-7     1.2934318320202871E-9    -7.660517646935436E-7    2.0509849205289328E-7    5.5218359268114745E-15
0.5008943981831219        0.0127                   3.4102954188711386E-7    7.155714242797797E-7     1.6937910539225546E-10   -7.658738374128058E-7    2.0713022931555218E-7    5.574885407456559E-15
0.5005                    0.0127                   3.405696338327897E-7     7.157685637953254E-7     2.417586238754924E-9     -7.662258904740259E-7    2.030649140969388E-7     5.4687428661559716E-15
