% Model:              CantileverBeam_Split Beam.mph
% Version:            COMSOL 6.2.0.415
% Date:               Dec 12 2024, 13:58
% Dimension:          2
% Nodes:              81
% Expressions:        6
% Description:        Displacement field, Y-component
% Length unit:        m
% EI-values:          [1000, 5000] Pa*m^4
% mu-values:          [1, 1] kg/m
% Eigenvalues:	      [10.622, 102.26, 370.41, 658.44, 731.43, 1142.7] Hz
% X                       Y                        v (m) @ lambda=1         v (m) @ lambda=2         v (m) @ lambda=3         v (m) @ lambda=4         v (m) @ lambda=5         v (m) @ lambda=6
0.8875                    0.0127                   8.548326251885742E-7     -4.2506786282761213E-7   1.1495871982448577E-7    5.6774763351421983E-8    -1.9944546560852824E-18  -2.142497432653358E-7
0.9                       0.0127                   8.709568305279123E-7     -4.778975827088357E-7    1.6935522926063075E-7    -2.439922261702308E-8    -3.539339274660443E-18   -1.4802418857143952E-7
0.9125000000000001        0.0127                   8.870850005728768E-7     -5.310220788414418E-7    2.2619923338870384E-7    -1.1413312551143534E-7   -5.169647096111579E-18   -6.465156544321215E-8
0.925                     0.0127                   9.032131706178395E-7     -5.841465749740462E-7    2.8304323751677566E-7    -2.038670284058463E-7    -6.800114154021222E-18   1.872105768501428E-8
0.9375                    0.0127                   9.193435796059443E-7     -6.374437177422295E-7    3.4137106536565527E-7    -2.989932307734726E-7    -8.468171600222353E-18   1.1355801012545138E-7
0.95                      0.0127                   9.354739885940493E-7     -6.907408605104134E-7    3.996988932145358E-7     -3.9411943314110017E-7   -1.0136082155854807E-17  2.0839496256588993E-7
0.9625                    0.0127                   9.51605382184611E-7      -7.441167780190806E-7    4.587263688986698E-7     -4.918773340846014E-7    -1.1846866138756876E-17  3.091149080173615E-7
0.975                     0.0127                   9.677367757751744E-7     -7.974926955277484E-7    5.177538445828041E-7     -5.896352350281025E-7    -1.355775673862912E-17   4.098348534688325E-7
0.9875                    0.0127                   9.838683878875866E-7     -8.508869310530104E-7    5.769504147144323E-7     -6.880537123320721E-7    -1.528360855043156E-17   5.121088135737069E-7
1                         0.0127                   9.99999999999999E-7      -9.042811665782727E-7    6.361469848460609E-7     -7.864721896360419E-7    -1.7009132077782535E-17  6.143827736785815E-7
